title,rating,stars
仙剑客栈,3.0分,"吴磊,徐悦,孙雪宁,童可可,苑琼丹"
前清秘史,4.0分,"李亚平,赵树仁（解说）"
英雄,4.0分,"张子健,蒋竹青,马精武,王昌娥"
天地传奇,3.0分,"焦恩俊,何琳,曹荣"
新水浒传,2.0分,"张涵予,吕良伟,刘宇桥,严屹宽,胡可,何佳怡,安以轩,杜淳,袁咏仪,熊乃瑾,李宗翰,杨子,张铁林,景岗山,胡东,黄海冰,陈龙,张晓晨,高虎,甘婷婷,张迪,韩栋,李昊"
楚乔传,5.7分,赵丽颖/林更新/窦骁/李沁
画心师,6.5分,熊梓淇/李俊辰/祝绪丹/鲍天琦
猎毒人,3.7分,"于和伟,张丹峰,侯梦莎,傅程鹏"
我姥爷1945,4.0分,"王学圻,陈紫函,郭凯敏,温兆伦,柳岩,康华"
谁？异能者第二季,2.0分,"陈凯颖,杨剑勐,叶秋儿,吴美仪,雷小米,梁壁荧,卢家勇,魏青年,傅力璇"
光芒,3.0分,"张新成,蔡文静,张志坚,古子成,王自健,梁洁,王一楠,冯雷,毛毅,任彬,安戈,厉娜,张晞临,于翔,张雪菡"
程序员那么可爱,3.0分,"邢昭林,祝绪丹,易大千,田依桐,关芯,骏声,盛朗熙"
隋唐英雄4未删减版,4.0分,"张卫健,刘晓庆,郑国霖,叶祖新,孙耀琦"
公子何时休,5.0分,李明源、杜雨宸
不得不爱2,1.0分,潘玮柏、徐璐、黄柏钧、张峻宁
怪咖啡未删减版,5.0分,"柳小海,张天爱,包文婧,东靖川,闫肃"
我的朋友陈白露小姐,3.0分,"陈艳茜,张天爱,屈楚萧,李子峰,李茜,明道,谭凯,周奕彤,崔可法,李卓霖,吴乙彤"
最美的青春,4.0分,"刘智扬,何雨虹,赵恒煊,贾宏伟"
魔幻手机2傻妞归来,2.0分,"舒畅,李滨,刘美希,曹骏,谢宁,于咏琳,刘希媛,马文忠"
错放你的手,3.0分,"罗晋,童蕾,聂鑫,颜北,陈真希,马丁,梁同裕,王沫溪"
错放你的手,3.0分,"罗晋,童蕾,聂鑫,颜北,陈真希,马丁,梁同裕,王沫溪"
错儿,3.0分,"储小蕾,朱铁,刘大为,何泓珊,刘姝辰,李萱,孙桂田,储智博"
棋逢对手,4.0分,"黄轩,王子文,殷叶子,黄觉,黄勐,邓萃雯,李媛,孔维,李泽锋,许娣,张绍荣,林栋甫"
陶之恋,2.0分,"戚薇,韩在石,邬倩倩,牛宝军,庹宗华,隋存毅,霍政谚,韩在硕"
刀尖,3.0分,"徐佳,斓曦,孙征宇"
天官赐福日语版,3.0分,"姜广涛,马正阳,黄莺,文森,胡良伟,山新,吴磊,白雪岑,陶典,路知行,邱秋"
甜蜜计划,5.0分,"陈思诚,李彩桦,宋轶,廖学秋,周浩东"
时光旧巷的我们,4.0分,"胡博文,于小彬,姜莱,周孜垚"
夺金2021,3.0分,"郑凯,张逗逗,夏星,白恩,王璐,巫刚,石天硕,孙淳"
如朕亲临,4.0分,"李国毅,连俞涵,蓝钧天,房思瑜,范宸菲,杨子仪,宝咖咖,黄泰安,林小楼"
妻妾成群,4.0分,"尤磊,赵秦,方飞,张宇鹏,梁小冰,石修,王若涵,王霄艺"
妻妾成群,1.0分,"尤磊,赵秦,方飞,张宇鹏,梁小冰,石修,王若涵,王霄艺"
思美人[DVD版],3.0分,"马可,张馨予,乔振宇,易烊千玺,李子峰,梁田,刘芸,斓曦,李雨轩,彭博,罗嘉良,恬妞,宁心"
末法王座,5.0分,"于斌,陆翊,吴仁杰,林雪飘"
将军家的小狐仙,3.6分,内详
花府小姐要出逃,2.1分,董岩磊
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
